Name,URL,Description,Language,Count,Last Date
jellyfin / jellyfin-web,https://github.com/jellyfin/jellyfin-web,The Free Software Media System - Official Web Client,javascript,4,2025-02-24
songquanpeng / one-api,https://github.com/songquanpeng/one-api,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",javascript,14,2025-03-01
NodeBB / NodeBB,https://github.com/NodeBB/NodeBB,Node.js based forum software built for the modern web,javascript,4,2025-02-11
gildas-lormeau / SingleFile,https://github.com/gildas-lormeau/SingleFile,Web Extension for saving a faithful copy of a complete web page in a single HTML file,javascript,3,2025-02-12
1Panel-dev / 1Panel,https://github.com/1Panel-dev/1Panel,"🔥 Top-Rated Web-Based Linux Server Management Tool. 1Panel features an intuitive web interface that seamlessly integrates server management and monitoring, container management, database administration, website management, system backup and restoration, and more.",go,6,2025-02-24
mudler / LocalAI,https://github.com/mudler/LocalAI,"🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",go,12,2025-02-21
v2fly / v2ray-core,https://github.com/v2fly/v2ray-core,A platform for building proxies to bypass network restrictions.,go,12,2025-03-04
m1k1o / neko,https://github.com/m1k1o/neko,A self hosted virtual browser that runs in docker and uses WebRTC.,go,5,2025-02-12
juanfont / headscale,https://github.com/juanfont/headscale,"An open source, self-hosted implementation of the Tailscale control server",go,2,2025-02-13
authelia / authelia,https://github.com/authelia/authelia,The Single Sign-On Multi-Factor portal for web apps,go,9,2025-03-03
ory / kratos,https://github.com/ory/kratos,"Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace Homegrown, Auth0, Okta, Firebase with better UX and DX. Passkeys, Social Sign In, OIDC, Magic Link, Multi-Factor Auth, SMS, SAML, TOTP, and more. Runs everywhere, runs best on Ory Network.",go,1,2025-02-11
dlvhdr / gh-dash,https://github.com/dlvhdr/gh-dash,A beautiful CLI dashboard for GitHub 🚀,go,4,2025-02-11
mayswind / ezbookkeeping,https://github.com/mayswind/ezbookkeeping,A lightweight personal bookkeeping app hosted by yourself.,go,2,2025-02-11
gokcehan / lf,https://github.com/gokcehan/lf,Terminal file manager,go,1,2025-02-11
tailscale / tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",go,7,2025-03-09
junegunn / fzf,https://github.com/junegunn/fzf,🌸 A command-line fuzzy finder,go,6,2025-02-27
jeessy2 / ddns-go,https://github.com/jeessy2/ddns-go,"Simple and easy to use DDNS. Support Aliyun, Tencent Cloud, Dnspod, Cloudflare, Callback, Huawei Cloud, Baidu Cloud, Porkbun, GoDaddy, Namecheap, NameSilo...",go,4,2025-02-18
henrygd / beszel,https://github.com/henrygd/beszel,"Lightweight server monitoring hub with historical data, docker stats, and alerts.",go,13,2025-03-09
avelino / awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",go,5,2025-03-03
XIU2 / CloudflareSpeedTest,https://github.com/XIU2/CloudflareSpeedTest,🌩「自选优选 IP」测试 Cloudflare CDN 延迟和速度，获取最快 IP ！当然也支持其他 CDN / 网站 IP ~,go,5,2025-03-04
beego / beego,https://github.com/beego/beego,"beego is an open-source, high-performance web framework for the Go programming language.",go,3,2025-02-24
containrrr / watchtower,https://github.com/containrrr/watchtower,A process for automating Docker container base image updates.,go,3,2025-02-11
simulot / immich-go,https://github.com/simulot/immich-go,An alternative to the immich-CLI command that doesn't depend on nodejs installation. It tries its best for importing google photos takeout archives.,go,4,2025-03-04
slackhq / nebula,https://github.com/slackhq/nebula,"A scalable overlay networking tool with a focus on performance, simplicity and security",go,1,2025-02-11
rancher / fleet,https://github.com/rancher/fleet,Deploy workloads from Git to large fleets of Kubernetes clusters,go,1,2025-02-11
turbot / tailpipe,https://github.com/turbot/tailpipe,"select * from logs; Tailpipe is an open source SIEM for instant log insights, powered by DuckDB. Analyze millions of events in seconds, right from your terminal.",go,1,2025-02-11
weaviate / weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database .",go,4,2025-03-09
ashishps1 / awesome-low-level-design,https://github.com/ashishps1/awesome-low-level-design,Learn Low Level Design (LLD) and prepare for interviews using free resources.,java,14,2025-02-18
PaperMC / Paper,https://github.com/PaperMC/Paper,"The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies",java,14,2025-03-04
ashishps1 / awesome-leetcode-resources,https://github.com/ashishps1/awesome-leetcode-resources,Awesome LeetCode resources to learn Data Structures and Algorithms and prepare for Coding Interviews.,java,7,2025-02-11
nextcloud / android,https://github.com/nextcloud/android,📱 Nextcloud Android app,java,4,2025-02-11
iluwatar / java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,java,8,2025-03-08
TeamNewPipe / NewPipe,https://github.com/TeamNewPipe/NewPipe,A libre lightweight streaming front-end for Android.,java,17,2025-03-07
vaadin / flow,https://github.com/vaadin/flow,Vaadin Flow is a Java framework binding Vaadin web components to Java. This is part of Vaadin 10+.,java,1,2025-02-11
datahub-project / datahub,https://github.com/datahub-project/datahub,The Metadata Platform for your Data and AI Stack,java,10,2025-03-05
jagrosh / MusicBot,https://github.com/jagrosh/MusicBot,🎶 A Discord music bot that's easy to set up and run yourself!,java,4,2025-02-11
Grasscutters / Grasscutter,https://github.com/Grasscutters/Grasscutter,A server software reimplementation for a certain anime game.,java,1,2025-02-11
OpenRefine / OpenRefine,https://github.com/OpenRefine/OpenRefine,"OpenRefine is a free, open source power tool for working with messy data and improving it",java,4,2025-02-11
sparrowwallet / sparrow,https://github.com/sparrowwallet/sparrow,Desktop Bitcoin Wallet focused on security and privacy. Free and open source.,java,1,2025-02-11
cabaletta / baritone,https://github.com/cabaletta/baritone,google maps for block game,java,3,2025-02-11
Team-xManager / xManager,https://github.com/Team-xManager/xManager,"Ad-Free, New Features & Freedom",java,3,2025-03-08
xiaojieonly / Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,java,8,2025-03-04
NationalSecurityAgency / ghidra,https://github.com/NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,java,20,2025-03-08
AntennaPod / AntennaPod,https://github.com/AntennaPod/AntennaPod,A podcast manager for Android,java,3,2025-02-11
DP-Hridayan / aShellYou,https://github.com/DP-Hridayan/aShellYou,A material you designed app for your ADB needs,java,1,2025-02-11
yuliskov / SmartTube,https://github.com/yuliskov/SmartTube,Advanced player for set-top boxes and tvs running Android OS,java,11,2025-02-25
cryptomator / cryptomator,https://github.com/cryptomator/cryptomator,"Cryptomator for Windows, macOS, and Linux: Secure client-side encryption for your cloud storage, ensuring privacy and control over your data.",java,3,2025-02-27
sinaptik-ai / pandas-ai,https://github.com/sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.",python,6,2025-02-27
Shubhamsaboo / awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",python,19,2025-02-28
bregman-arie / devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",python,4,2025-02-28
yt-dlp / yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,python,10,2025-02-25
geekan / MetaGPT,https://github.com/geekan/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",python,6,2025-03-09
crossbario / autobahn-testsuite,https://github.com/crossbario/autobahn-testsuite,Autobahn WebSocket protocol testsuite,python,1,2025-02-25
pytorch / torchtune,https://github.com/pytorch/torchtune,PyTorch native post-training library,python,3,2025-02-25
mealie-recipes / mealie,https://github.com/mealie-recipes/mealie,Mealie is a self hosted recipe manager and meal planner with a RestAPI backend and a reactive frontend application built in Vue for a pleasant user experience for the whole family. Easily add recipes into your database by providing the url and mealie will automatically import the relevant data or add a family recipe with the UI editor,python,3,2025-02-25
dgtlmoon / changedetection.io,https://github.com/dgtlmoon/changedetection.io,"The best and simplest free open source web page change detection, website watcher, restock monitor and notification service. Restock Monitor, change detection. Designed for simplicity - Simply monitor which websites had a text change for free. Free Open source web page change detection, Website defacement monitoring, Price change notification",python,3,2025-02-25
ccxt / ccxt,https://github.com/ccxt/ccxt,A JavaScript / TypeScript / Python / C# / PHP / Go cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,python,2,2025-02-25
smicallef / spiderfoot,https://github.com/smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,python,1,2025-02-25
RVC-Boss / GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),python,3,2025-02-25
FreeTubeApp / FreeTube,https://github.com/FreeTubeApp/FreeTube,An Open Source YouTube app for privacy,javascript,7,2025-03-01
drawdb-io / drawdb,https://github.com/drawdb-io/drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",javascript,10,2025-03-03
qist / tvbox,https://github.com/qist/tvbox,OK影视、tvbox配置文件，如果喜欢，请Fork自用。使用前请仔细阅读仓库说明，一旦使用将被视为你已了解。,javascript,5,2025-02-25
iptv-org / iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,javascript,13,2025-03-03
steveseguin / social_stream,https://github.com/steveseguin/social_stream,Consolidate your live social messaging streams and much more,javascript,1,2025-02-25
HeyPuter / puter,https://github.com/HeyPuter/puter,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable.",javascript,7,2025-03-09
academicpages / academicpages.github.io,https://github.com/academicpages/academicpages.github.io,"Github Pages template for personal, portfolio-based websites; forked from mmistakes/minimal-mistakes",javascript,5,2025-02-25
zizifn / edgetunnel,https://github.com/zizifn/edgetunnel,Running V2ray inside edge/serverless runtime,javascript,1,2025-02-25
devlikeapro / waha,https://github.com/devlikeapro/waha,"WAHA - WhatsApp HTTP API (REST API) that you can configure in a click! 3 engines: WEBJS (browser based), NOWEB (websocket nodejs), GOWS (websocket go)",javascript,2,2025-02-26
end-4 / dots-hyprland,https://github.com/end-4/dots-hyprland,i hate minimalism so...,javascript,6,2025-03-05
ethereumbook / ethereumbook,https://github.com/ethereumbook/ethereumbook,"Mastering Ethereum, by Andreas M. Antonopoulos, Gavin Wood",javascript,6,2025-03-05
photoprism / photoprism,https://github.com/photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,go,7,2025-02-25
yorukot / superfile,https://github.com/yorukot/superfile,Pretty fancy and modern terminal file manager,go,10,2025-02-26
wavetermdev / waveterm,https://github.com/wavetermdev/waveterm,"An open-source, cross-platform terminal for seamless workflows",go,7,2025-02-26
AdguardTeam / AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,Network-wide ads & trackers blocking DNS server,go,11,2025-02-25
alpkeskin / mosint,https://github.com/alpkeskin/mosint,An automated e-mail OSINT tool,go,2,2025-02-25
